Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","008","Albanie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","1.608539","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6110","Valeur US $","22008","Produit Intérieur Brut","2020","2020","millions","14909.619335","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2020","2020","%","-3.185781","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6110","Valeur US $","22076","Valeur ajoutée (Fabrication de produits alimentaires, boissons et de produits à base de tabac)","2018","2018","millions","158.584522","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6103","Part du PIB US $","22076","Valeur ajoutée (Fabrication de produits alimentaires, boissons et de produits à base de tabac)","2018","2018","%","1.046318","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6129","Croissance annuelle US$","22076","Valeur ajoutée (Fabrication de produits alimentaires, boissons et de produits à base de tabac)","2018","2018","%","21.316325","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6110","Valeur US $","22076","Valeur ajoutée (Fabrication de produits alimentaires, boissons et de produits à base de tabac)","2019","2019","millions","164.489766","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6103","Part du PIB US $","22076","Valeur ajoutée (Fabrication de produits alimentaires, boissons et de produits à base de tabac)","2019","2019","%","1.068099","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6129","Croissance annuelle US$","22076","Valeur ajoutée (Fabrication de produits alimentaires, boissons et de produits à base de tabac)","2019","2019","%","3.72372","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6110","Valeur US $","22011","Revenu national brut","2018","2018","millions","15137.999954","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6129","Croissance annuelle US$","22011","Revenu national brut","2018","2018","%","15.986515","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6110","Valeur US $","22011","Revenu national brut","2019","2019","millions","15198.655753","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6129","Croissance annuelle US$","22011","Revenu national brut","2019","2019","%","0.400686","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6110","Valeur US $","22011","Revenu national brut","2020","2020","millions","14651.156758","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6129","Croissance annuelle US$","22011","Revenu national brut","2020","2020","%","-3.602286","E","Valeur estimée",""
"MK","Indicateurs macro","012","Algérie","6110","Valeur US $","22008","Produit Intérieur Brut","2018","2018","millions","175415.180411","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","012","Algérie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2018","2018","%","3.126567","E","Valeur estimée",""
"MK","Indicateurs macro","012","Algérie","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","171158.234285","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","012","Algérie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","-2.426783","E","Valeur estimée",""
"MK","Indicateurs macro","012","Algérie","6110","Valeur US $","22008","Produit Intérieur Brut","2020","2020","millions","147688.69383","X","Ciffre de sources internationales",""
