Zone,CO2 emissions (kt),Container port traffic (TEU: 20 foot equivalent units),Merchandise exports (current US$),Merchandise imports (current US$),Rail lines (total route-km),PIB Valeur US $,Volailles - Production (Milliers de tonnes),Population urbaine,Aliments Volailles (milliers de tonnes),region
Roumanie,73942.8,666036.0,76871000000,96544000000,10759.0,249880.118218,507.0,10537.319,8036.0,Europe
Serbie,46030.1,1229081.0,19630000000,26730000000,3724.468,51514.242776,114.0,4913.42,4012.0,Europe
Slovénie,13665.0,959000.0,44943000000,44007000000,1209.0,54178.877606,70.0,1141.344,170.0,Europe
Soudan,22131.5,469526.0,3735000000,9291000000,2747.0,34895.36208,75.0,14852.586,2.0,Africa
Sri Lanka,23427.9,7230000.0,11940000000,19937000000,1562.0,83990.932868,187.0,3906.383,187.0,Asia
Suisse,37376.3,121366.0,313934000000,277830000000,3647.245487,731718.481696,100.0,6357.099,555.0,Europe
Suède,34964.6,1623363.0,160576000000,158971000000,9701.0,533879.529188,158.0,8817.415,1011.0,Europe
Tadjikistan,8965.7,1229081.0,1174000000,3349000000,620.0,8300.81389,16.0,2537.559,673.0,Asia
Thaïlande,274466.7,10130294.0,246269000000,236260000000,2977.5,544263.738706,1804.0,35132.892,5834.0,Asia
Tunisie,31045.0,474222.0,14933000000,21564000000,1777.0,39195.271092,227.0,8160.285,1357.0,Africa
Ukraine,174599.9,1007273.0,50054000000,60800000000,21625.9,153929.552493,1390.0,30425.95,8040.0,Europe
Uruguay,6806.7,749562.0,7680000000,8246000000,1498.0,61231.193299,72.0,3322.873,760.0,Americas
Zambie,7615.7,1229081.0,7039000000,7173000000,1248.0,23309.720448,51.0,7993.486,284.0,Africa
Zimbabwe,10185.3,1229081.0,4269000000,4817000000,3120.0,21935.075306,67.0,5571.525,92.0,Africa
Émirats arabes unis,185645.7,18802000.0,389428000000,288447000000,261.0,417215.559513,45.0,8402.99,680.0,Asia
