,Zone,PIB Croissance annuelle US$,PIB Croissance annuelle US$ par habitant,PIB Valeur US $,PIB Valeur US $ par habitant,Disponibilité alimentaire en quantité (kg/personne/an) autre viandes,Disponibilité de protéines en quantité (g/personne/jour) autre viandes,Disponibilité alimentaire en quantité (kg/personne/an) volailles,Disponibilité de protéines en quantité (g/personne/jour) volailles,Femmes,Hommes,Population rurale,Population totale,Population urbaine
41,Congo,-6.250427,-8.622677,12525.041407,2327.854806,20.82,7.1,20.82,7.1,2788.979,2781.753,1808.264,5570.733,3733.933
42,Costa Rica,2.591095,1.613062,63951.114772,12669.706175,38.46,11.46,38.46,11.46,2538.156,2546.376,996.082,5084.532,4003.302
43,Croatie,-0.002689,0.629233,62246.204386,15070.610877,14.71,5.54,14.71,5.54,2122.252,2007.499,1770.247,4129.752,2369.901
44,Cuba,3.376312,3.418735,103428.0,9125.879485,28.76,8.66,28.76,8.66,5688.414,5628.282,2630.623,11316.697,8861.423
45,Côte d'Ivoire,0.911231,-1.628817,58539.606234,2276.340329,2.92,0.99,2.92,0.99,12929.424,13218.128,12449.33,26147.551,13081.753
46,Danemark,-2.600559,-2.933837,347561.349211,60216.357595,25.2,10.94,25.2,10.94,2914.173,2881.706,693.384,5795.878,5081.84
47,Djibouti,8.311198,6.682792,3166.329057,3252.320409,3.52,1.21,3.52,1.21,540.367,533.626,217.689,1073.994,768.001
48,Dominique,10.232462,9.951539,611.537037,8516.280039,44.55,14.61,44.55,14.61,35.755,35.673,21.816,71.428,52.863
49,El Salvador,3.36579,2.840324,26896.661015,4167.729159,24.59,7.53,24.59,7.53,3287.678,2992.539,1756.617,6280.217,4688.788
50,Espagne,-1.966796,-2.058916,1393046.093137,29806.208566,33.34,13.69,33.34,13.69,24028.434,23102.938,9025.938,47131.372,37415.111
51,Estonie,1.823877,1.614337,31045.591753,23419.18198,21.77,7.49,21.77,7.49,699.545,627.494,403.516,1327.039,900.282
52,Eswatini,-4.160505,-5.149594,4471.045112,3894.197619,7.0,2.43,7.0,2.43,589.812,579.801,1075.98,1169.613,339.434
53,Fidji,-1.52551,-2.241425,5496.254429,6175.892917,39.09,13.7,39.09,13.7,457.099,461.366,397.364,918.465,521.393
54,Finlande,-2.514413,-2.683228,268782.47138,48585.483016,20.36,8.63,20.36,8.63,2795.778,2725.759,809.403,5521.537,4751.986
55,France,-2.224564,-2.45716,2728870.246706,40516.996615,21.94,8.52,21.94,8.52,33258.507,31141.251,12631.632,64399.759,52849.078
56,Fédération de Russie,1.817486,1.721011,1687449.693108,11567.996132,31.34,10.56,31.34,10.56,78045.173,67697.114,36568.45,145742.286,107327.101
57,Gabon,0.041934,-2.412584,16874.40546,7766.992804,34.89,12.43,34.89,12.43,1098.462,1144.323,216.365,2242.785,1892.734
58,Gambie,8.090469,4.977553,1805.852806,769.198872,11.24,3.79,11.24,3.79,1261.541,1247.342,848.212,2508.883,1379.863
59,Ghana,1.600026,-0.573586,68353.477449,2247.149748,7.28,2.27,7.28,2.27,15798.612,15723.678,13029.799,31522.29,17067.171
60,Grenade,4.026608,3.516706,1213.4854,10834.400864,45.85,15.68,45.85,15.68,61.24,61.483,69.217,122.724,39.608
61,Grèce,-3.256455,-2.805772,205144.162906,19587.057271,25.9,10.59,25.9,10.59,5391.864,5182.16,2292.972,10574.024,8831.631
62,Guatemala,5.20579,3.209423,77020.031893,4380.749911,24.94,8.18,24.94,8.18,8633.753,8472.585,8535.983,17106.338,9041.859
63,Guinée,13.972967,10.787452,13513.809311,1058.143372,2.71,0.95,2.71,0.95,6527.547,6349.991,8507.787,12877.539,4890.393
64,Guinée-Bissau,-4.353405,-6.674659,1322.269762,688.351615,3.13,1.06,3.13,1.06,998.712,971.745,1098.44,1970.457,855.283
65,Guyana,8.065106,7.546017,5173.764988,6609.593401,50.34,16.18,50.34,16.18,405.932,392.821,576.594,798.753,209.914
66,Géorgie,-0.696658,-0.543185,17476.97647,4372.780604,18.23,6.23,18.23,6.23,1996.062,1774.749,1599.187,3770.811,2305.017
67,Haïti,-11.473795,-12.573382,14006.805987,1243.603856,9.73,2.97,9.73,2.97,5625.31,5535.128,4925.256,11160.438,6317.6
68,Honduras,4.247122,2.550746,25089.937109,2574.352135,23.2,7.47,23.2,7.47,4927.035,5031.794,4044.696,9958.829,5523.992
69,Hongrie,1.830572,2.070515,163526.491433,16885.070887,27.57,10.57,27.57,10.57,5093.203,4678.593,2737.853,9771.796,6917.508
70,Inde,4.657558,3.602458,2889949.137794,2114.982134,3.21,1.08,3.21,1.08,668786.993,714325.057,896909.218,1383112.05,471828.295
71,Indonésie,7.370414,6.198011,1119091.262196,4135.201528,14.65,4.92,14.65,4.92,133784.436,135798.442,118636.092,269582.878,150900.39
72,Iran (République islamique d'),24.170933,22.503041,653592.818881,7882.788912,25.89,9.22,25.89,9.22,42772.045,43792.157,20381.311,86564.202,62439.455
73,Iraq,3.399668,1.094974,235097.208122,5980.628489,7.59,2.79,7.59,2.79,20774.818,20788.703,11849.769,41563.52,28562.53
74,Irlande,3.656838,2.302239,399122.063647,81745.514055,26.09,14.63,26.09,14.63,2470.88,2425.139,1773.798,4896.019,3073.341
75,Islande,-5.365363,-6.012393,24857.740445,73319.963204,31.39,12.92,31.39,12.92,175.786,184.988,20.929,360.774,319.637
76,Israël,6.501774,4.778357,397934.603686,46709.354884,70.2,28.85,70.2,28.85,4320.34,4287.58,643.684,8607.919,7940.232
77,Italie,-3.946043,-3.823551,2009383.867307,33185.489321,19.35,7.99,19.35,7.99,30637.674,29090.258,17329.18,59727.932,41887.345
78,Jamaïque,0.63551,0.177027,15830.762952,5369.49283,55.1,17.0,55.1,17.0,1417.116,1396.657,1279.22,2813.773,1627.119
79,Japon,2.221414,2.496903,5148781.948478,40586.234684,19.29,7.57,19.29,7.57,64633.006,61158.671,10531.932,125791.677,116322.813
80,Jordanie,3.657896,2.258483,44502.816901,4405.480596,23.21,8.32,23.21,8.32,5143.079,5555.605,885.864,10698.683,9183.93
81,Kazakhstan,1.297613,0.03185,181667.115805,9792.622196,20.09,6.9,20.09,6.9,9748.515,9005.743,7894.648,18754.258,10698.322
82,Kenya,9.057436,6.606768,100554.205721,1912.6233,1.69,0.57,1.69,0.57,25679.257,25272.193,37851.953,50951.45,14362.838
83,Kirghizistan,7.253124,5.383841,8871.019823,1382.672572,5.8,1.97,5.8,1.97,3218.606,3105.037,3943.164,6323.643,2275.452
84,Kiribati,-9.323037,-10.679267,177.934614,1512.972242,22.48,7.97,22.48,7.97,63.851,60.39,54.392,124.241,66.036
85,Koweït,-1.454915,-3.089204,136191.632701,32371.986172,49.67,17.14,49.67,17.14,1702.878,2738.222,0.0,4441.1,4248.974
86,Lesotho,-2.352297,-3.130623,2453.706774,1154.539933,1.51,0.56,1.51,0.56,1127.746,1097.956,1637.308,2225.702,655.374
87,Lettonie,-0.349239,0.785689,34308.783825,17993.397026,24.18,8.24,24.18,8.24,1032.054,884.501,607.314,1916.555,1303.794
88,Liban,-3.111395,-3.059176,53556.297821,7811.922381,19.42,6.98,19.42,6.98,2967.783,2814.124,681.91,5781.907,5384.012
89,Libye,-21.514672,-22.659889,59830.238583,8827.836565,30.14,10.76,30.14,10.76,3240.076,3329.012,1288.13,6569.088,5281.734
90,Libéria,-5.927754,-8.18366,2582.242493,522.999168,10.72,3.76,10.72,3.76,2505.847,2479.442,2408.447,4985.289,2569.273
91,Lituanie,1.760839,3.296197,54697.379017,19820.569598,30.08,10.29,30.08,10.29,1517.198,1331.885,920.766,2849.083,1943.693
92,Luxembourg,-1.528097,-3.364702,70195.715496,114004.238058,18.83,7.52,18.83,7.52,308.142,311.831,52.396,619.973,544.596
93,Macédoine du Nord,-1.072476,-1.096312,12547.045163,6022.218418,20.02,7.12,20.02,7.12,1059.539,1054.637,872.081,2114.176,1214.639
94,Madagascar,2.504583,-0.182551,14104.664678,522.989511,3.18,1.07,3.18,1.07,13728.596,13804.538,16758.613,27533.134,10211.029
95,Malaisie,1.664747,0.32275,364684.031843,11414.290367,46.42,15.42,46.42,15.42,16009.996,16794.024,7592.143,32804.02,24862.312
96,Malawi,12.848591,9.907364,11146.123699,598.329222,5.66,1.91,5.66,1.91,9698.995,9168.342,16332.17,18867.337,3386.573
97,Maldives,5.787422,2.747608,5607.747339,10561.664288,14.59,5.07,14.59,5.07,212.884,291.624,269.969,504.508,181.769
98,Mali,1.235602,-1.752754,17281.795532,879.12139,2.44,0.83,2.44,0.83,10179.843,10387.581,11196.104,20567.424,8493.036
99,Malte,2.593977,2.332117,15725.930124,35710.558628,25.46,11.6,25.46,11.6,244.0,259.634,23.057,503.635,410.188
100,Maroc,1.502623,0.270635,119870.737017,3286.671864,23.23,8.03,23.23,8.03,18022.621,18281.786,13557.256,36304.408,23077.9
101,Maurice,-0.959827,-1.153513,14045.808217,11062.58346,41.41,14.49,41.41,14.49,655.755,640.524,753.079,1296.279,518.289
102,Mauritanie,7.30526,4.403532,7889.655285,1743.302088,6.07,1.88,6.07,1.88,2238.719,2145.13,2120.517,4383.849,2540.632
103,Mexique,3.805973,2.679234,1268868.331537,9946.016618,36.47,10.33,36.47,10.33,63898.082,61187.228,25877.808,125085.311,106450.227
104,Micronésie (États fédérés de),1.524715,0.476597,408.0606,3585.297193,36.61,12.7,36.61,12.7,55.307,56.072,82.578,111.379,24.405
105,Mongolie,6.773785,4.954553,13996.719189,4339.843236,4.35,1.5,4.35,1.5,1626.335,1606.094,995.997,3232.43,2170.247
106,Monténégro,0.640531,0.612005,5542.182456,8825.313988,15.79,5.7,15.79,5.7,323.013,307.383,206.74,630.396,422.615
107,Mozambique,3.668681,0.69842,15390.031041,506.817256,3.99,1.34,3.99,1.34,15433.808,14851.787,19935.885,30285.595,11472.938
108,Myanmar,0.89851,0.269171,74278.687002,1374.375238,29.23,9.49,29.23,9.49,26616.9,26423.311,37572.512,53040.212,16763.626
109,Namibie,-8.153649,-9.85576,12565.519202,5037.229138,8.84,3.27,8.84,3.27,1265.266,1181.378,1293.462,2446.644,1348.534
110,Nauru,-3.876207,-4.644769,132.846561,12350.926128,53.76,18.29,53.76,18.29,5.955,6.177,0.0,12.132,11.26
111,Nicaragua,-3.178574,-4.361953,12611.205562,1926.697992,20.52,6.57,20.52,6.57,3379.591,3284.332,2619.224,6663.924,3731.933
112,Niger,0.841599,-2.912886,12916.460168,554.099699,1.17,0.4,1.17,0.4,11553.632,11889.761,19348.533,23443.393,3828.158
113,Nigéria,12.492335,9.643739,474516.650002,2361.206967,1.25,0.39,1.25,0.39,100623.652,102680.839,98156.422,203304.492,102805.995
114,Norvège,-7.205884,-7.91139,405510.0,75389.62274,20.1,8.24,20.1,8.24,2652.244,2696.034,938.907,5348.279,4462.009
115,Nouvelle-Calédonie,-4.151474,-5.08606,9438.127994,33379.763021,36.81,13.39,36.81,13.39,142.938,142.436,81.884,285.374,201.492
116,Nouvelle-Zélande,0.698957,-0.141741,213434.571358,44622.989778,28.37,10.03,28.37,10.03,2507.303,2451.731,641.441,4959.034,4150.968
117,Népal,7.993108,6.056634,34268.254394,1197.825921,2.51,0.84,2.51,0.84,15128.288,13704.208,23907.871,28832.496,6034.147
118,Oman,-4.333004,-7.131161,76331.518668,15343.062004,22.6,7.97,22.6,7.97,1678.067,2924.701,728.113,4602.768,4273.762
119,Ouganda,10.722374,6.869295,37718.356702,852.014968,1.55,0.52,1.55,0.52,21707.475,21241.606,34576.219,42949.08,11135.655
120,Ouzbékistan,14.553581,12.797953,57726.542785,1750.258925,2.74,0.91,2.74,0.91,16481.63,16495.318,16261.493,32976.948,16545.875
121,Pakistan,-10.931685,-12.715406,253087.564027,1168.643097,6.25,2.1,6.25,2.1,110278.237,113015.042,129085.803,223293.28,75510.639
122,Panama,2.864074,1.178837,66787.866841,15727.970387,56.27,16.97,56.27,16.97,2114.03,2118.501,1349.902,4232.532,2876.295
123,Papouasie-Nouvelle-Guinée,2.531317,0.547706,24828.833504,2829.139144,4.14,1.56,4.14,1.56,4605.722,4936.763,7448.841,9542.486,1137.684
124,Paraguay,-5.763775,-6.948578,37906.944206,5380.965632,10.2,3.04,10.2,3.04,3249.592,3280.434,2661.61,6530.026,4320.371
125,Pays-Bas,-0.421106,-0.639925,910194.347569,53236.674668,5.33,2.27,5.33,2.27,8738.999,8624.262,1391.913,17363.262,15740.995
126,Philippines,8.644143,7.171772,376823.404772,3485.342237,16.8,5.64,16.8,5.64,54369.671,56011.134,57134.902,110380.804,50971.408
127,Pologne,1.681183,1.771958,597284.45385,15764.572193,30.45,12.56,30.45,12.56,19867.761,18625.84,15197.181,38493.601,22831.097
128,Polynésie française,-2.086346,-2.650086,6166.118532,22078.072132,48.51,16.74,48.51,16.74,147.819,151.899,109.928,299.717,178.578
129,Portugal,-0.959995,-0.669389,239986.922639,23467.879341,31.44,12.95,31.44,12.95,5432.203,4857.72,3510.812,10289.923,6743.854
130,Pérou,2.650242,1.0046,228473.278308,7027.686705,44.22,22.04,44.22,22.04,16556.679,16268.182,7212.742,32824.861,25721.093
