,Zone,PIB Croissance annuelle US$,PIB Croissance annuelle US$ par habitant,PIB Valeur US $,PIB Valeur US $ par habitant,distance_to_france,country,region,Femmes,Hommes,Population rurale,Population totale,Population urbaine,Volailles - Disponibilité intérieure (Milliers de tonnes),Volailles - Importations - Quantité (Milliers de tonnes),Volailles - Production (Milliers de tonnes),Blé - Aliments pour animaux (Milliers de tonnes),Blé - Importations - Quantité (Milliers de tonnes),Blé - Production (Milliers de tonnes),Maïs - Aliments pour animaux (Milliers de tonnes),Maïs - Importations - Quantité (Milliers de tonnes),Maïs - Production (Milliers de tonnes),"Inflation, consumer prices (annual %)",Agricultural land (% of land area),CO2 emissions (kt),Container port traffic (TEU: 20 foot equivalent units),Population density (people per sq. km of land area),Merchandise exports (current US$),Merchandise imports (current US$),Rail lines (total route-km),country_code,Revenu National,PIB Domestique,Revenu national avant impôt - p0p50,Revenu national avant impôt - p90p100,Revenu national avant impôt - p99p100
62,Italie,-3.946043,-3.823551,2009383.867307,33185.489321,957.6583683886114,IT,Europe,30637.674,29090.258,17329.18,59727.932,41887.345,1200.0,94.0,1358.0,1271.0,8060.0,6739.0,11384.0,6578.0,6279.0,0.611246943765291,44.3699956377212,317223,10789337,201.980545589195,537718000000,475006000000,16778.6,IT,32919.6869,40060.2066,0.1652,0.3726,0.1236
63,Jamaïque,0.63551,0.177027,15830.762952,5369.49283,7769.199157529548,JM,Americas,1417.116,1396.657,1279.22,2813.773,1627.119,165.0,32.0,134.0,0.0,233.0,0.0,261.0,289.0,2.0,3.90510000865876,40.9972299168975,8394.3,1647609,259.812834718375,1651000000,6389000000,2977.5,JM,10316.9128,11729.6691,0.1039,0.5179,0.183
64,Japon,2.221414,2.496903,5148781.948478,40586.234684,9850.103892934118,JP,Asia,64633.006,61158.671,10531.932,125791.677,116322.813,2499.0,1094.0,2298.0,780.0,5680.0,1038.0,12260.0,15992.0,0.0,0.468776159383912,12.0631001371742,1073645.3,23276482,347.415637860082,705564000000,720957000000,2977.5,JP,32296.2829,38839.6192,0.1682,0.4424,0.1286
65,Jordanie,3.657896,2.258483,44502.816901,4405.480596,3399.294771859274,JO,Asia,5143.079,5555.605,885.864,10698.683,9183.93,235.0,62.0,185.0,0.0,928.0,26.0,733.0,797.0,0.0,0.761514047265513,11.6730860193256,23147.9,798160,120.488805549925,8317000000,19170000000,2977.5,JO,12341.3522,13509.4515,0.1431,0.4836,0.1705
66,Kazakhstan,1.297613,0.03185,181667.115805,9792.622196,4752.270913034778,KZ,Asia,9748.515,9005.743,7894.648,18754.258,10698.322,372.0,182.0,214.0,828.0,458.0,11452.0,324.0,18.0,896.0,5.2454767960839,79.2585472459903,204592.2,1229081.0,6.85767789013594,57309000000,37757000000,16060.8,KZ,24772.2382,32362.9918,0.1644,0.412,0.1488
67,Kenya,9.057436,6.606768,100554.205721,1912.6233,6208.772729827912,KE,Africa,25679.257,25272.193,37851.953,50951.45,14362.838,89.0,0.0,89.0,0.0,2029.0,367.0,396.0,265.0,3582.0,5.23585999425422,48.5469304564782,19481.9,1417000,89.5235794356397,5839000000,17655000000,2977.5,KE,6253.8832,7506.7611,0.1301,0.4872,0.1519
68,Kirghizistan,7.253124,5.383841,8871.019823,1382.672572,5651.116485179438,KG,Asia,3218.606,3105.037,3943.164,6323.643,2275.452,37.0,34.0,10.0,150.0,466.0,601.0,522.0,6.0,712.0,2.227478809383,40.44699488220985,17873.55,1229081.0,81.8442208657917,10869000000.0,13897500000.0,2977.5,,5810.2401,7477.9937,0.1687,0.4327,0.1809
69,Kiribati,-9.323037,-10.679267,177.934614,1512.972242,15169.556268013985,KI,Oceania,63.851,60.39,54.392,124.241,66.036,3.0,2.0,1.0,0.0,6.0,78.5,0.0,0.0,233.0,-1.81307995302948,41.9753086419753,73.6,52099.86,153.383950617284,12000000,132000000,2977.5,KI,5463.1784,2922.3598,0.1452,0.45389999999999997,0.1501
70,Koweït,-1.454915,-3.089204,136191.632701,32371.986172,4327.41889055588,KW,Asia,1702.878,2738.222,0.0,4441.1,4248.974,209.0,154.0,61.0,0.0,608.0,0.0,117.0,115.0,26.0,1.09184802655847,8.41750841750842,93863.6,959575.625,249.219977553311,64483000000,33574000000,2977.5,KW,54266.252,51749.6297,0.1177,0.529,0.1896
71,Lesotho,-2.352297,-3.130623,2453.706774,1154.539933,8830.449922468413,LS,Africa,1127.746,1097.956,1637.308,2225.702,655.374,3.0,2.0,2.0,10.0,80.0,1.0,1.0,142.0,35.0,5.18708359197979,70.5533596837945,2300.1,1229081.0,73.3103425559947,1063000000,1783000000,2977.5,LS,4165.3558,3682.9295,0.1128,0.4951,0.1446
72,Lettonie,-0.349239,0.785689,34308.783825,17993.397026,1934.0910753847795,LV,Europe,1032.054,884.501,607.314,1916.555,1303.794,46.0,48.0,35.0,167.0,535.0,2371.0,29.0,101.0,0.0,2.81140920075622,31.4975814357112,7569.1,449850,30.755491989008,15705000000,18959000000,1859.6,LV,24242.8935,31391.8694,0.1742,0.3551,0.0941
73,Liban,-3.111395,-3.059176,53556.297821,7811.922381,3146.28457426828,LB,Asia,2967.783,2814.124,681.91,5781.907,5384.012,133.0,10.0,128.0,4.0,639.0,140.0,590.0,577.0,3.0,3.0053894939038,65.4613880742913,26916.5,1229081,565.191300097752,4829000000,19641000000,2977.5,LB,19781.4657,21727.3433,0.1044,0.5417,0.2053
74,Libye,-21.514672,-22.659889,59830.238583,8827.836565,2579.2311084545954,LY,Africa,3240.076,3329.012,1288.13,6569.088,5281.734,204.0,76.0,129.0,152.0,798.0,140.0,121.0,138.0,3.0,2.227478809383,8.72387101174171,54692.7,271230.6,3.73341214180979,27733000000,17184000000,2977.5,LY,29309.1728,29816.4472,0.1637,0.4412,0.1345
75,Libéria,-5.927754,-8.18366,2582.242493,522.999168,4564.493823086081,LR,Africa,2505.847,2479.442,2408.447,4985.289,2569.273,53.0,38.0,15.0,0.0,48.0,0.0,1.0,2.0,233.0,2.227478809383,20.2869601328904,1146.2,91453.84,51.7575685215947,543000000,1033000000,2977.5,LR,14308.86245,17160.489999999998,0.1452,0.45389999999999997,0.1501
76,Lituanie,1.760839,3.296197,54697.379017,19820.569598,1809.68160956323,LT,Europe,1517.198,1331.885,920.766,2849.083,1943.693,85.0,49.0,100.0,147.0,298.0,3844.0,202.0,380.0,98.0,2.33450937988024,47.5087831363781,11735.8,703000,44.6205206004471,33151000000,35759000000,1911,LT,30944.867,36662.4034,0.0762,0.4319,0.1264
77,Luxembourg,-1.528097,-3.364702,70195.715496,114004.238058,493.7713378926581,LU,Europe,308.142,311.831,52.396,619.973,544.596,12.0,12.0,0.0,26.0,187.0,82.0,6.0,17.0,1.0,1.74332075653843,51.1144084584729,9500.3,1229081.0,240.827591028798,16451000000,24264000000,288,LU,64394.0833,118022.011,0.1969,0.3345,0.101
78,Macédoine du Nord,-1.072476,-1.096312,12547.045163,6022.218418,1641.5682504186211,MK,Europe,1059.539,1054.637,872.081,2114.176,1214.639,42.0,41.0,1.0,75.0,207.0,240.0,170.0,52.0,148.0,0.766439573459688,50.1586042823156,7956.1,1229081.0,82.3431403647898,7189000000,9471000000,683,MK,13581.0117,17098.0202,0.2074,0.306,0.0787
79,Madagascar,2.504583,-0.182551,14104.664678,522.989511,8505.18980434443,MG,Africa,13728.596,13804.538,16758.613,27533.134,10211.029,86.0,0.0,86.0,0.0,399.0,5.0,2.0,5.0,219.0,5.61051441492366,70.2904778274321,3927.7,199712.5,47.3240529391543,2696000000,3942000000,673,MG,2325.4659,2595.2292,0.1248,0.5076,0.1517
80,Malaisie,1.664747,0.32275,364684.031843,11414.290367,10415.34223088804,MY,Asia,16009.996,16794.024,7592.143,32804.02,24862.312,1482.0,73.0,1655.0,35.0,1944.0,40.0,3474.0,4415.0,60.0,0.662891865764376,26.0873535230558,244882,26215322,99.8448333586973,238195000000,204998000000,1655,MY,26771.6428,32791.6068,0.173,0.4027,0.1487
81,Malawi,12.848591,9.907364,11146.123699,598.329222,7351.36755600364,MW,Africa,9698.995,9168.342,16332.17,18867.337,3386.573,105.0,0.0,105.0,0.0,125.0,1.0,156.0,6.0,3392.0,9.37083605605672,59.9278744166313,1643.7,1229081.0,200.12024819686,913000000,2941000000,2977.5,MW,2434.8084,2760.4863,0.1393,0.4841,0.1502
82,Maldives,5.787422,2.747608,5607.747339,10561.664288,8297.898210385152,MV,Asia,212.884,291.624,269.969,504.508,181.769,13.0,13.0,69.0,0.0,41.0,0.0,0.0,0.0,0.0,0.220029731065364,21.3333333333333,1999.5,107728.2,1681.69333333333,361000000,2888000000,2977.5,MV,18433.1209,23079.5799,0.1808,0.3951,0.1308
83,Mali,1.235602,-1.752754,17281.795532,879.12139,3237.544866440595,ML,Africa,10179.843,10387.581,11196.104,20567.424,8493.036,48.0,2.0,55.0,0.0,383.0,8.0,1578.0,1.0,3817.0,-1.65826694846368,33.7660528278383,3937.4,1229081.0,16.8559191601308,3675000000,5134000000,2977.5,ML,3973.3835,4320.3646,0.1475,0.4461,0.1183
84,Malte,2.593977,2.332117,15725.930124,35710.558628,1528.8486930358351,MT,Europe,244.0,259.634,23.057,503.635,410.188,13.0,9.0,4.0,0.0,60.0,0.0,43.0,58.0,0.0,1.64206001768947,32.4375,1658.6,2712853,1575.19375,3178000000,7388000000,2977.5,MT,35311.3029,45142.5595,0.1964,0.3533,0.1094
85,Maroc,1.502623,0.270635,119870.737017,3286.671864,1792.3420593191013,MA,Africa,18022.621,18281.786,13557.256,36304.408,23077.9,847.0,7.0,842.0,2090.0,3904.0,4025.0,651.0,2746.0,40.0,0.303386036590361,66.34978041676,70986.3,6068803,81.3453013667936,29132000000,50734000000,2295,MA,9639.5942,10422.4395,0.1356,0.4943,0.1514
86,Maurice,-0.959827,-1.153513,14045.808217,11062.58346,9255.302245260931,MU,Africa,655.755,640.524,753.079,1296.279,518.289,54.0,4.0,51.0,0.0,171.0,0.0,68.0,120.0,0.0,0.405655190309511,42.3645320197044,4173.7,469011,623.637931034483,2223000000,5596000000,2977.5,MU,22161.2532,24823.5502,0.1481,0.474,0.1589
87,Mauritanie,7.30526,4.403532,7889.655285,1743.302088,3047.8691487456013,MR,Africa,2238.719,2145.13,2120.517,4383.849,2540.632,27.0,31.0,5.0,15.0,685.0,9.0,4.0,21.0,17.0,2.30009262117936,38.4796740079558,3824.8,84457.99,4.25327350344426,2266000000,3520000000,728,MR,8632.0698,9513.4197,0.1678,0.4048,0.1075
88,Mexique,3.805973,2.679234,1268868.331537,9946.016618,9190.116668717856,MX,Americas,63898.082,61187.228,25877.808,125085.311,106450.227,4652.0,1142.0,3515.0,312.0,5249.0,3244.0,19455.0,16718.0,27228.0,3.6359614212705,49.4385143650814,451828.8,7113878,64.3459507703387,460604000000,467118000000,2977.5,MX,19362.0929,24541.0078,0.0622,0.6494,0.2818
89,Mongolie,6.773785,4.954553,13996.719189,4339.843236,7164.782820571379,MN,Asia,1626.335,1606.094,995.997,3232.43,2170.247,14.0,14.0,0.0,16.0,43.0,411.0,1.0,6.0,233.0,7.30106953550724,72.8032862891056,23146.9,1229081.0,2.07571898811886,7620000000,6128000000,1814,MN,12796.8554,16377.3556,0.1495,0.429,0.1605
90,Monténégro,0.640531,0.612005,5542.182456,8825.313988,1413.64157340577,ME,Europe,323.013,307.383,206.74,630.396,422.615,10.0,7.0,4.0,9.0,102.0,2.0,27.0,42.0,3.0,0.361563704540798,19.1078066914498,2601.1,15744.41,46.2474349442379,465000000,2909000000,250,ME,20547.7189,22687.323,0.1591,0.3507,0.0874
91,Mozambique,3.668681,0.69842,15390.031041,506.817256,7955.222382339806,MZ,Africa,15433.808,14851.787,19935.885,30285.595,11472.938,121.0,24.0,112.0,16.0,696.0,18.0,109.0,268.0,1452.0,2.80270307928101,52.6638927744856,7530.2,411938,38.5126719906407,4669000000,7428000000,2977.5,MZ,2032.7342,2302.5791,0.083,0.6463,0.3111
92,Nauru,-3.876207,-4.644769,132.846561,12350.926128,14718.678309115812,NR,Oceania,5.955,6.177,0.0,12.132,11.26,1.0,1.0,0.0,26.0,1.0,78.5,0.0,0.0,233.0,2.227478809383,20,53.4,5327.06,606.6,19000000,36000000,2977.5,NR,22956.2689,19066.5529,0.1452,0.45389999999999997,0.1501
93,Nicaragua,-3.178574,-4.361953,12611.205562,1926.697992,8782.315269622695,NI,Americas,3379.591,3284.332,2619.224,6663.924,3731.933,134.0,7.0,140.0,0.0,189.0,0.0,68.0,298.0,400.0,5.3762899084413,42.0890809373442,5131.9,175370,55.3758018946319,5272000000,6837000000,2977.5,NI,6660.3488,7246.165,0.1039,0.5179,0.183
94,Niger,0.841599,-2.912886,12916.460168,554.099699,3228.037025140527,NE,Africa,11553.632,11889.761,19348.533,23443.393,3828.158,27.0,3.0,20.0,0.0,120.0,5.0,0.0,40.0,38.0,-2.48979265070851,36.7861372069156,2159.15,1229081.0,18.507454803821,1126000000,2326000000,2977.5,NE,2315.3645,2433.1017,0.1438,0.4919,0.1657
95,Nigéria,12.492335,9.643739,474516.650002,2361.206967,4175.976181446129,NG,Africa,100623.652,102680.839,98156.422,203304.492,102805.995,252.0,12.0,240.0,19.0,4688.0,60.0,4966.0,302.0,12700.0,11.3964223378115,76.0749146326735,119544.1,1627142,223.222648967357,62531000000,55257000000,2977.5,NG,8439.1677,8948.7862,0.155,0.4272,0.1159
96,Norvège,-7.205884,-7.91139,405510.0,75389.62274,1635.634346688102,NO,Europe,2652.244,2696.034,938.907,5348.279,4462.009,109.0,3.0,107.0,234.0,591.0,450.0,77.0,80.0,233.0,2.16773003305405,2.69589201685045,37661.6,837457,14.6479975020132,102799000000,85319000000,2977.5,NO,56174.484,66579.5616,0.2459,0.3023,0.0946
97,Nouvelle-Calédonie,-4.151474,-5.08606,9438.127994,33379.763021,16821.692637461514,NC,Oceania,142.938,142.436,81.884,285.374,201.492,11.0,10.0,1.0,11.0,33.0,0.0,9.0,0.0,9.0,2.227478809383,10.0672866520788,29696.5,111875,14.8380743982495,1700000000,2944000000,2977.5,NC,14308.86245,17160.489999999998,0.1452,0.45389999999999997,0.1501
98,Nouvelle-Zélande,0.698957,-0.141741,213434.571358,44622.989778,19179.441076866013,NZ,Oceania,2507.303,2451.731,641.441,4959.034,4150.968,223.0,1.0,240.0,298.0,544.0,398.0,315.0,250.0,196.0,1.61963190184049,39.2882913675895,34008.2,3430977,18.9100300026585,39517000000,42363000000,2977.5,NZ,43523.9049,46306.011,0.1957,0.3457,0.1187
99,Népal,7.993108,6.056634,34268.254394,1197.825921,7182.535931326031,NP,Asia,15128.288,13704.208,23907.871,28832.496,6034.147,72.0,0.0,63.0,279.0,227.0,2015.0,973.0,414.0,2653.0,5.56868547784925,28.7478200209278,13860.5,1229081.0,201.133561213812,968000000,12340000000,2977.5,NP,5369.1074,5495.1795,0.167,0.4147,0.1372
100,Oman,-4.333004,-7.131161,76331.518668,15343.062004,5535.2275606769945,OM,Asia,1678.067,2924.701,728.113,4602.768,4273.762,112.0,115.0,7.0,180.0,815.0,4.0,4.0,340.0,9.0,0.133795057453182,4.72180936995153,75744.8,4890471,14.8716252019386,38724000000,23507000000,2977.5,OM,29262.1136,38544.417,0.0896,0.5488,0.1907
101,Ouganda,10.722374,6.869295,37718.356702,852.014968,5781.146752249289,UG,Africa,21707.475,21241.606,34576.219,42949.08,11135.655,69.0,0.0,68.0,1.0,736.0,24.0,138.0,11.0,2760.0,2.86758803446909,71.8880909634949,5943,1229081.0,214.188509874327,3564000000,7696000000,2977.5,UG,3914.0158,4422.2899,0.1225,0.5282,0.1929
102,Ouzbékistan,14.553581,12.797953,57726.542785,1750.258925,4904.454751651214,UZ,Asia,16481.63,16495.318,16261.493,32976.948,16545.875,90.0,21.0,64.0,1958.0,2787.0,6093.0,276.0,119.0,421.0,14.5257359560686,58.0070592775022,117687.8,1229081.0,76.2228325634711,14024000000,21866000000,4735,UZ,7705.8621,9597.5081,0.1462,0.4553,0.1665
103,Pakistan,-10.931685,-12.715406,253087.564027,1168.643097,5931.045957504822,PK,Asia,110278.237,113015.042,129085.803,223293.28,75510.639,1353.0,0.0,1523.0,534.0,5.0,24374.0,1619.0,28.0,7883.0,10.5783618004555,47.1188771274388,184096.3,3150000,289.660232461602,23329000000,50332000000,7791,PK,7765.6662,8153.1713,0.173,0.4281,0.1665
104,Panama,2.864074,1.178837,66787.866841,15727.970387,8785.568603361335,PA,Americas,2114.03,2118.501,1349.902,4232.532,2876.295,241.0,22.0,230.0,0.0,175.0,0.0,494.0,527.0,123.0,-0.355083821021217,29.4284173631707,13099.9,7346859,57.0575896468051,11318000000,21492000000,2977.5,PA,34949.5406,39273.5073,0.1039,0.5179,0.183
105,Papouasie-Nouvelle-Guinée,2.531317,0.547706,24828.833504,2829.139144,14262.803768855947,PG,Oceania,4605.722,4936.763,7448.841,9542.486,1137.684,36.0,30.0,7.0,0.0,286.0,0.0,0.0,1.0,12.0,3.92867290939598,2.62774367354149,7467.5,1229081.0,21.0716027028221,11399000000,3934000000,2977.5,PG,5213.8661,5837.0049,0.1291,0.4628,0.1637
106,Paraguay,-5.763775,-6.948578,37906.944206,5380.965632,9856.229591500382,PY,Americas,3249.592,3280.434,2661.61,6530.026,4320.371,72.0,1.0,77.0,230.0,32.0,1358.0,1500.0,16.0,5577.0,2.7570972756279,42.3084319154291,8101.6,37795.5,16.436008054367,7968000000,12544000000,2977.5,PY,15729.4928,17890.7093,0.1039,0.5179,0.183
107,Philippines,8.644143,7.171772,376823.404772,3485.342237,11107.1764299305,PH,Asia,54369.671,56011.134,57134.902,110380.804,50971.408,1816.0,306.0,1509.0,1780.0,7422.0,0.0,5120.0,681.0,7979.0,2.39206534422402,42.4019854445451,145871.3,9171944,370.194197940772,70334000000,112909000000,2977.5,PH,11134.9658,11902.2171,0.1435,0.454,0.1662
108,Pologne,1.681183,1.771958,597284.45385,15764.572193,1381.6976253304447,PL,Europe,19867.761,18625.84,15197.181,38493.601,22831.097,1239.0,88.0,2568.0,2490.0,1077.0,10807.0,2800.0,460.0,3665.0,2.227478809383,47.4437293783281,294948.3,3046483,124.025595374212,266595000000,265282000000,18538,PL,27640.6217,33006.0305,0.1949,0.377,0.1484
109,Polynésie française,-2.086346,-2.650086,6166.118532,22078.072132,15906.90117810426,PF,Oceania,147.819,151.899,109.928,299.717,178.578,16.0,17.0,1.0,0.0,27.0,0.0,4.0,4.0,233.0,2.227478809383,13.6848170556036,29696.5,69166,86.348890809565,133000000,2102000000,2977.5,PF,14308.86245,17160.489999999998,0.1452,0.45389999999999997,0.1501
110,Portugal,-0.959995,-0.669389,239986.922639,23467.879341,1139.0106869537346,PT,Europe,5432.203,4857.72,3510.812,10289.923,6743.854,322.0,90.0,350.0,275.0,1711.0,77.0,2441.0,2252.0,755.0,0.338178410046125,42.5076960360502,44564.7,2904086,112.288582794065,67063000000,89538000000,2526.149,PT,27793.229,34779.9345,0.1965,0.3584,0.1046
111,Pérou,2.650242,1.0046,228473.278308,7027.686705,9780.442548882133,PE,Americas,16556.679,16268.182,7212.742,32824.861,25721.093,1833.0,71.0,1763.0,174.0,2045.0,188.0,4856.0,4038.0,1576.0,2.25212191358024,19.1236640625,56972.2,2677239,25.64442265625,46444000000,42284000000,2977.5,PE,13666.9117,15923.8949,0.0977,0.5374,0.2035
112,Qatar,-4.089456,-5.79579,175837.550996,62088.061828,4890.166303968697,QA,Asia,751.299,2055.936,22.293,2807.235,2721.608,159.0,132.0,27.0,0.0,282.0,0.0,66.0,71.0,1.0,-0.666641124861102,6.44038294168842,89486.8,1340000,244.319843342037,72935000000,29178000000,2977.5,QA,74786.6012,89104.5836,0.0946,0.5378,0.2244
113,Roumanie,3.48872,4.245233,249880.118218,12903.993529,1749.0400182993194,RO,Europe,10073.321,9450.89,8946.041,19524.211,10537.319,462.0,130.0,507.0,471.0,1263.0,10298.0,7565.0,657.0,17432.0,3.82785432599428,60.0921418636996,73942.8,666036,84.1952712100139,76871000000,96544000000,10759,RO,25897.5381,30727.7726,0.1544,0.4114,0.1446
114,Rwanda,7.42897,4.664069,10357.474541,820.267328,6003.349818387047,RW,Africa,6568.936,6266.092,10579.327,12835.028,2215.085,21.0,0.0,19.0,16.0,213.0,16.0,240.0,79.0,421.0,3.3478765503764,73.4373733279287,1451.1,1229081.0,520.268666396433,1241000000,2659000000,2977.5,RW,3250.8393,3578.7718,0.1184,0.5394,0.1989
115,République centrafricaine,-0.080282,-1.739937,2219.195548,467.673136,4757.044093227032,CF,Africa,2603.472,2605.852,2810.003,5209.324,2015.708,12.0,6.0,7.0,0.0,16.0,0.0,0.0,3.0,90.0,2.68537355266785,8.15435487495586,235.4,1229081.0,8.36194420366625,148000000,613000000,2977.5,CF,1642.4108,1763.7883,0.0763,0.6491,0.31
116,République dominicaine,3.957648,2.875213,88941.371981,8282.123087,7173.635695845368,DO,Americas,5409.472,5472.41,1998.33,10881.882,8998.444,386.0,40.0,355.0,188.0,650.0,0.0,1292.0,1403.0,50.0,1.8106037704296,50.2794452494308,25775.2,1894225,225.251128130822,11193000000,20268000000,2977.5,DO,14308.86245,17160.489999999998,0.1452,0.45389999999999997,0.1501
117,Sainte-Lucie,2.598712,2.092987,2118.792593,11591.403209,6843.782872558276,LC,Americas,90.001,88.582,146.612,178.583,33.842,6.0,5.0,1.0,0.0,20.0,0.0,1.0,3.0,0.0,0.539087559191731,16.2950819672131,534.6,39238,292.759016393443,82000000,598000000,2977.5,LC,13983.3179,16988.0835,0.1452,0.45389999999999997,0.1501
118,Samoa,1.493881,0.995415,847.239532,4298.591718,16365.75424742898,WS,Oceania,103.759,108.147,162.995,211.905,35.914,18.0,20.0,0.0,26.0,16.0,78.5,0.0,0.0,233.0,0.982326569888142,17.773381294964,278.7,42102,76.2248201438849,49000000,391000000,2977.5,WS,8096.4849,9451.3809,0.1452,0.45389999999999997,0.1501
119,Sao Tomé-et-Principe,3.678125,1.736233,430.633136,2002.423257,5137.571783422904,ST,Africa,107.476,107.123,56.336,214.599,157.043,4.0,3.0,1.0,26.0,11.0,78.5,0.0,1.0,1.0,2.227478809383,40.44699488220985,17873.55,1229081.0,81.8442208657917,10869000000.0,13897500000.0,2977.5,,6355.4742,6719.4273,0.175,0.3938,0.0895
120,Serbie,1.725055,2.078958,51514.242776,7364.953767,1491.1165010831314,RS,Europe,3852.092,3548.963,3819.987,7401.056,4913.42,121.0,17.0,114.0,500.0,66.0,2535.0,3512.0,8.0,7345.0,1.8492298451109,39.8124857077521,46030.1,1229081.0,79.4104161902584,19630000000,26730000000,3724.468,RS,13749.4008,17160.6681,0.1708,0.3786,0.1499
121,Seychelles,2.270149,1.597339,1582.869257,16194.858316,7706.62341168862,SC,Africa,49.453,54.919,41.038,104.373,54.664,4.0,3.0,1.0,0.0,9.0,0.0,2.0,5.0,0.0,2.07476436485001,3.3695652173913,595.3,154423.4,212.228260869565,518000000,1167000000,2977.5,SC,27404.1667,31558.6212,0.1213,0.5209,0.2056
122,Sierra Leone,0.896399,-1.20935,4121.733685,527.533632,4406.451560698076,SL,Africa,4016.374,4030.454,4534.084,8046.828,3349.039,44.0,20.0,19.0,0.0,93.0,0.0,9.0,1.0,39.0,14.804999090602,54.7104461069548,1038.8,78413,111.482793017456,635000000,1502000000,2977.5,SL,2596.724,2733.2407,0.1499,0.47,0.1502
123,Slovaquie,-0.310963,-0.384017,105284.375641,19293.407518,1339.3910257736354,SK,Europe,2790.862,2663.062,2522.243,5453.924,2928.744,115.0,104.0,71.0,410.0,344.0,1939.0,543.0,136.0,1445.0,2.227478809383,40.44699488220985,17873.55,1229081.0,81.8442208657917,10869000000.0,13897500000.0,2977.5,,27116.5585,33417.8468,0.2448,0.2678,0.0752
124,Slovénie,0.028222,-0.011094,54178.877606,26064.403987,982.8774365909936,SI,Europe,1054.83,1058.072,940.556,2112.901,1141.344,60.0,23.0,70.0,8.0,336.0,140.0,162.0,754.0,360.0,1.63052260754338,30.4066268051886,13665,959000,103.711934605987,44943000000,44007000000,1209,SI,31053.5901,38876.4954,0.2307,0.2957,0.08
125,Soudan,-27.84766,-29.552667,34895.36208,815.060101,4544.305953981766,SD,Africa,21624.451,21607.642,27661.508,43232.093,14852.586,75.0,0.0,75.0,0.0,2156.0,726.0,2.0,47.0,25.0,50.9940515002971,37.1551605995717,22131.5,469526,23.1435187366167,3735000000,9291000000,2747,SD,6161.9409,6874.8811,0.1577,0.4504,0.1536
126,Sri Lanka,-4.515682,-4.940943,83990.932868,3938.847521,8497.188904323175,LK,Asia,11208.805,10440.86,17112.476,21649.664,3906.383,186.0,0.0,187.0,44.0,987.0,0.0,143.0,136.0,246.0,3.52839358231808,45.4472947072851,23427.9,7230000,352.431694638296,11940000000,19937000000,1562,LK,14605.8486,16239.7327,0.1413,0.4898,0.2047
127,Suisse,-0.519458,-1.280832,731718.481696,85169.060062,464.65203278608294,CH,Europe,4322.373,4253.216,2251.16,8575.588,6357.099,143.0,45.0,100.0,255.0,645.0,496.0,300.0,156.0,175.0,0.362886179940635,38.1403673395328,37376.3,121366,217.007629561978,313934000000,277830000000,3647.245487,CH,54720.529,70879.3278,0.2331,0.3084,0.1019
128,Suriname,5.453317,4.477092,3977.099088,6840.885162,7297.750103729965,SR,Americas,300.864,299.437,194.302,600.301,378.783,30.0,19.0,11.0,0.0,38.0,0.0,7.0,8.0,0.0,2.227478809383,0.538461538461538,2656.82,109200,3.84808333333333,2155000000,1711000000,2977.5,SR,18181.205,23310.9075,0.1039,0.5179,0.183
129,Suède,-3.884352,-4.504359,533879.529188,53194.436877,1882.8833552456347,SE,Europe,5104.556,5163.366,1235.72,10267.922,8817.415,226.0,84.0,158.0,925.0,628.0,3477.0,86.0,157.0,11.0,1.78415097403832,7.37761126098893,34964.6,1623363,25.2376654802124,160576000000,158971000000,9701,SE,47211.6526,56029.5575,0.239,0.3049,0.1039
130,Sénégal,0.819804,-1.914946,23306.213218,1430.148051,3855.6177049679386,SN,Africa,8140.163,7860.618,8764.887,16000.781,7978.972,117.0,0.0,116.0,0.0,773.0,0.0,29.0,382.0,531.0,1.76011151192936,46.1122941879188,12297.8,695698,83.1079883654495,4179000000,8144000000,2977.5,SN,4925.1611,5874.8499,0.1396,0.478,0.1433
131,Tadjikistan,6.900368,4.375146,8300.81389,890.547995,5536.61722199249,TJ,Asia,4640.105,4696.898,6754.441,9337.003,2537.559,20.0,9.0,16.0,451.0,1229.0,837.0,222.0,4.0,233.0,2.227478809383,35.4362706246848,8965.7,1229081.0,67.2743209164925,1174000000,3349000000,620,TJ,5119.1363,5332.3768,0.1548,0.4223,0.1453
132,Tchad,-0.882135,-3.79812,11271.66391,706.825833,3750.443395938265,TD,Africa,8032.044,8094.822,12132.857,16126.866,3681.488,8.0,2.0,7.0,2.0,66.0,2.0,32.0,10.0,415.0,-0.971939175419353,39.8967598475222,1583.6,1229081.0,12.8072315756036,2588000000,2694000000,2977.5,TD,3003.8221,3035.8505,0.1433,0.4673,0.1377
133,Thaïlande,7.432309,7.128139,544263.738706,7817.008104,9395.601115862537,TH,Asia,36584.375,34723.388,34173.268,71307.763,35132.892,918.0,3.0,1804.0,1695.0,3098.0,1.0,4139.0,804.0,4535.0,0.70672860131428,44.8433126504727,274466.7,10130294,139.57557008358,246269000000,236260000000,2977.5,TH,14284.8075,18611.3364,0.1389,0.4879,0.1776
134,Togo,-1.135427,-3.499568,6894.331919,853.009121,4183.927017281147,TG,Africa,4101.08,4142.015,4727.819,8243.094,3458.565,66.0,25.0,42.0,0.0,142.0,0.0,124.0,1.0,912.0,0.674652770077441,70.2334988049274,2442.3,1500611,151.555322669608,1055000000,2091000000,2977.5,TG,3214.9405,3429.3181,0.1242,0.5003,0.1484
