,Zone,PIB Croissance annuelle US$,PIB Croissance annuelle US$ par habitant,PIB Valeur US $,PIB Valeur US $ par habitant,distance_to_france,country,region,Femmes,Hommes,Population rurale,Population totale,Population urbaine,Volailles - Disponibilité intérieure (Milliers de tonnes),Volailles - Importations - Quantité (Milliers de tonnes),Volailles - Production (Milliers de tonnes),Blé - Aliments pour animaux (Milliers de tonnes),Blé - Importations - Quantité (Milliers de tonnes),Blé - Production (Milliers de tonnes),Maïs - Aliments pour animaux (Milliers de tonnes),Maïs - Importations - Quantité (Milliers de tonnes),Maïs - Production (Milliers de tonnes),"Inflation, consumer prices (annual %)",Agricultural land (% of land area),CO2 emissions (kt),Container port traffic (TEU: 20 foot equivalent units),Population density (people per sq. km of land area),Merchandise exports (current US$),Merchandise imports (current US$),Rail lines (total route-km),country_code,Revenu National,PIB Domestique,Revenu national avant impôt - p0p50,Revenu national avant impôt - p90p100,Revenu national avant impôt - p99p100
14,Bahreïn,2.176909,-2.288644,38473.717598,23442.830854,4806.839837803548,BH,Asia,560.779,933.409,173.716,1494.188,1464.18,71.0,63.0,9.0,0.0,155.0,0.0,7.0,14.0,0.0,1.00582004702132,10.9833971902937,32966.8,418933,1908.28607918263,18120000000,13256000000,2977.5,BH,44378.8925,53750.4501,0.1023,0.5572,0.2434
15,Bangladesh,11.654402,10.511157,301051.101806,1846.416377,7995.394579895899,BD,Asia,83352.043,82164.179,105200.1,165516.222,62865.82,260.0,0.0,260.0,788.0,4599.0,1017.0,4504.0,1310.0,3569.0,5.59199639930632,75.6318660213567,92645,3145919,1271.53892601982,39337000000,59094000000,2877,BD,6347.1194,7011.1271,0.1708,0.424,0.1616
16,Barbade,3.41701,3.278652,5297.95,18458.148245,6792.130415347118,BB,Americas,145.957,134.222,197.584,280.18,89.426,18.0,2.0,16.0,2.0,38.0,0.0,30.0,36.0,0.0,4.10028964518463,23.2558139534884,1167.27,98435,651.581395348837,444000000,1581000000,2977.5,BB,13713.7246,16989.9881,0.1452,0.45389999999999997,0.1501
17,Belgique,-1.469808,-1.957791,535288.71524,46388.205209,503.800009816769,BE,Europe,5832.685,5677.883,226.556,11510.568,11336.228,187.0,320.0,448.0,488.0,4924.0,1902.0,1192.0,2110.0,429.0,1.43681956996435,44.7959907529723,92989.4,12389876,379.424702774108,446910000000,428878000000,3615,BE,44254.9889,54054.4847,0.2038,0.3295,0.087
18,Bhoutan,3.420351,2.240715,2530.559003,3316.191236,7711.467253283282,BT,Asia,360.356,407.103,482.419,767.459,343.81,3.0,2.0,1.0,0.0,15.0,1.0,12.0,16.0,46.0,2.72643037388825,13.4504457262716,1433,1229081.0,20.1221552176193,674000000,981000000,2977.5,BT,12056.0233,14352.6113,0.1504,0.4214,0.14
19,Bosnie-Herzégovine,0.093877,0.789016,20202.636114,6120.156351,1239.232166120035,BA,Europe,1708.207,1652.504,1798.985,3360.711,1702.789,69.0,11.0,67.0,100.0,428.0,265.0,1300.0,191.0,1236.0,2.227478809383,40.44699488220985,17873.55,1229081.0,81.8442208657917,10869000000.0,13897500000.0,2977.5,,13041.5923,14883.3396,0.1834,0.3438,0.0956
20,Botswana,-1.612127,-3.731717,18362.405202,7970.842173,7952.471443315881,BW,Africa,1266.499,1233.202,708.307,2499.702,1666.329,8.0,5.0,4.0,0.0,132.0,0.0,26.0,249.0,7.0,2.7728644286333,45.63372328975,7198.3,1229081.0,4.41074585781589,5237000000,6564000000,886,BW,15838.2478,21279.0355,0.0812,0.5926,0.2274
21,Brésil,-1.612948,-2.349607,1886014.572498,8936.360101,8625.29474713015,BR,Americas,107663.08,104119.798,27985.169,211782.878,184407.548,9952.0,5.0,14094.0,500.0,7156.0,5594.0,47168.0,1467.0,101126.0,3.73297621216894,28.3410903622098,434318,10704669,25.3385176606278,221127000000,193162000000,2977.5,BR,15307.4183,18025.6245,0.1014,0.5707,0.2034
22,Bulgarie,3.845581,4.609411,68913.754204,9844.65467,1879.5079106991254,BG,Europe,3631.617,3420.914,1722.907,7052.532,5265.832,162.0,111.0,109.0,87.0,163.0,6321.0,540.0,32.0,4060.0,3.10372944796774,46.3983050847458,39159.9,261934,64.2571941783346,33340000000,37663000000,4030,BG,18510.3011,22855.2361,0.1676,0.4197,0.165
23,Burkina Faso,-0.430319,-3.222746,15990.80321,786.895614,3796.1260320691135,BF,Africa,10520.378,10431.262,14229.173,20951.639,6092.387,204.0,0.0,204.0,0.0,234.0,0.0,453.0,5.0,1711.0,-3.23338933983321,44.3823099415205,5646.5,1229081.0,76.5776279239766,3239000000,4284000000,518,BF,3362.431,3814.9018,0.1036,0.5484,0.1556
24,Burundi,1.543848,-1.584267,3368.533752,292.139142,6151.74781137156,BI,Africa,5980.56,5894.278,10028.767,11874.838,1547.197,7.0,0.0,7.0,6.0,122.0,5.0,9.0,33.0,271.0,-0.686772170797229,79.1666666666667,707.4,1229081.0,462.415809968847,180000000,887000000,2977.5,BI,1159.7391,1367.5148,0.1402,0.4839,0.1474
25,Bénin,0.906426,-1.796465,14391.686309,1219.515479,4105.322402237794,BJ,Africa,6138.319,6152.125,6153.211,12290.444,5648.384,121.0,117.0,15.0,0.0,232.0,0.0,518.0,3.0,1581.0,-0.70502663454275,35.0301525363604,7475.5,510895.6,108.996488116353,3052000000,3932000000,2977.5,BJ,5032.0352,5438.7698,0.1422,0.4694,0.1403
26,Cambodge,10.280952,8.697296,27097.96382,1643.641451,9958.074264015548,KH,Asia,8186.482,8021.264,12558.947,16207.746,3923.699,29.0,1.0,28.0,0.0,75.0,0.0,609.0,30.0,895.0,1.94257500833109,32.56288239293,18093.2,633236,91.8181849082257,14825000000,20279000000,2977.5,KH,4999.1357,5869.5707,0.1391,0.4538,0.1813
27,Cameroun,0.809408,-1.762265,39007.353482,1507.450172,4428.519410658641,CM,Africa,12926.852,12855.489,10892.584,25782.341,14420.409,87.0,2.0,85.0,0.0,839.0,1.0,664.0,66.0,2109.0,2.45280214062733,20.6257536333058,9557.3,370685,54.5415603647056,4084000000,6583000000,884,CM,5933.3581,6486.0402,0.1063,0.5205,0.1585
28,Canada,1.137758,0.228098,1741496.789532,46550.335507,6840.796934804394,CA,Americas,18881.443,18641.142,6903.53,37522.584,30376.281,1530.0,179.0,1506.0,4617.0,1339.0,32688.0,10929.0,2477.0,13404.0,1.94926902411596,6.48668966571079,566001.8,7000133,4.19394931064213,448817000000,462993000000,47987.47,CA,41994.3689,49275.0907,0.1625,0.397,0.1391
29,Chili,-6.111539,-7.215677,279385.478377,14741.711597,11709.16808431781,CL,Americas,9589.082,9450.404,2265.846,19039.485,16070.807,734.0,137.0,769.0,368.0,1311.0,1400.0,3000.0,2463.0,973.0,2.55754475703323,21.076429797238,91915.4,4647086,25.6068131566631,68794000000,69855000000,2396,CL,23698.5028,25953.4401,0.0688,0.6124,0.2399
30,Chine,2.717516,2.27518,14700827.670843,10195.736594,8021.9942694990405,CN,Asia,711442.99,742358.552,568748.198,1453801.543,883204.937,22322.0,1807.0,21518.0,18179.0,5842.0,133626.0,200111.0,9785.0,260958.0,2.89923416358227,56.0770143746388,10762824,243560000,149.367573167744,2499457000000,2078386000000,102462,CN,17132.2629,20383.6035,0.1398,0.4236,0.1466
31,Chypre,0.922676,0.138763,25758.996523,29659.349246,2882.6862500615716,CY,Asia,613.199,615.637,397.812,1228.836,800.615,42.0,15.0,27.0,2.0,100.0,29.0,303.0,317.0,233.0,0.250370996758456,13.5491341991342,7191,389962,132.990909090909,3453000000,9127000000,2977.5,CY,37791.5008,43345.0988,0.2034,0.3369,0.0885
32,Colombie,-3.222139,-4.526358,323429.885859,6424.979431,8604.822987771598,CO,Americas,25408.106,24779.301,9419.54,50187.406,40430.278,1808.0,115.0,1693.0,26.0,1991.0,6.0,4984.0,6004.0,1395.0,3.52301932741443,44.7129337539432,79186.7,4316862,45.2342550698513,39489000000,52703000000,2977.5,CO,14630.0419,17160.3119,0.0814,0.5451,0.1773
33,Comores,0.316476,-1.872154,1192.559711,1401.550515,7680.403549239121,KM,Africa,393.86,397.126,602.75,790.986,248.16,1.0,0.0,1.0,26.0,16.0,78.5,1.0,0.0,6.0,2.227478809383,70.3922622246104,326.2,54358.54,425.032778076303,39000000,265000000,2977.5,KM,4734.7365,5179.8465,0.1139,0.5026,0.1415
34,Costa Rica,2.591095,1.613062,63951.114772,12669.706175,8917.747488849167,CR,Americas,2538.156,2546.376,996.082,5084.532,4003.302,198.0,15.0,145.0,0.0,341.0,0.0,736.0,972.0,13.0,2.09604635327805,34.7728162945554,7956.4,1300785,99.57955346651,11864000000,17573000000,2977.5,CR,20258.3079,22864.9583,0.0847,0.5346,0.1811
35,Croatie,-0.002689,0.629233,62246.204386,15070.610877,1015.7614909310802,HR,Europe,2122.252,2007.499,1770.247,4129.752,2369.901,61.0,30.0,68.0,111.0,332.0,803.0,1276.0,74.0,2298.0,0.771820346498083,26.8744192695304,16523.3,348435,72.6405010363805,17180000000,28160000000,2617,HR,24286.1498,28750.29,0.1904,0.3471,0.0963
