Zone,PIB Valeur US $,Céréales - Disponibilité intérieure (Milliers de tonnes),Fruits - Disponibilité intérieure (Milliers de tonnes),Légumes - Disponibilité intérieure (Milliers de tonnes),Poisson - Disponibilité intérieure (Milliers de tonnes),Viande - Disponibilité intérieure (Milliers de tonnes),distance_to_france,region,Femmes,Hommes,Population rurale,Population totale,Population urbaine,Volailles - Disponibilité intérieure (Milliers de tonnes),Volailles - Importations - Quantité (Milliers de tonnes),Volailles - Production (Milliers de tonnes),Blé - Aliments pour animaux (Milliers de tonnes),Blé - Importations - Quantité (Milliers de tonnes),Blé - Production (Milliers de tonnes),Maïs - Aliments pour animaux (Milliers de tonnes),Maïs - Importations - Quantité (Milliers de tonnes),Maïs - Production (Milliers de tonnes)
Bénin,14391.686309,3624.0,518.0,822.0,332.89,189.0,4105.322402237794,Africa,6138.319,6152.125,6153.211,12290.444,5648.384,121.0,117.0,15.0,0.0,232.0,0.0,518.0,3.0,1581.0
Cambodge,27097.96382,11281.0,332.0,633.0,1162.78,186.0,9958.074264015548,Asia,8186.482,8021.264,12558.947,16207.746,3923.699,29.0,1.0,28.0,0.0,75.0,0.0,609.0,30.0,895.0
Cameroun,39007.353482,5401.0,6084.0,3173.0,825.07,309.0,4428.519410658641,Africa,12926.852,12855.489,10892.584,25782.341,14420.409,87.0,2.0,85.0,0.0,839.0,1.0,664.0,66.0,2109.0
Canada,1741496.789532,34509.0,3756.0,3980.0,4752.82,3653.0,6840.796934804394,Americas,18881.443,18641.142,6903.53,37522.584,30376.281,1530.0,179.0,1506.0,4617.0,1339.0,32688.0,10929.0,2477.0,13404.0
Chili,279385.478377,7126.0,3547.0,1587.0,2846.79,1645.0,11709.16808431781,Americas,9589.082,9450.404,2265.846,19039.485,16070.807,734.0,137.0,769.0,368.0,1311.0,1400.0,3000.0,2463.0,973.0
Chine,14700827.670843,629790.0,176616.0,635735.0,160235.08,90666.0,8021.9942694990405,Asia,711442.99,742358.552,568748.198,1453801.543,883204.937,22322.0,1807.0,21518.0,18179.0,5842.0,133626.0,200111.0,9785.0,260958.0
Chypre,25758.996523,679.0,65.0,114.0,155.23,115.0,2882.6862500615716,Asia,613.199,615.637,397.812,1228.836,800.615,42.0,15.0,27.0,2.0,100.0,29.0,303.0,317.0,233.0
Colombie,323429.885859,12781.0,8557.0,3171.0,3645.98,3139.0,8604.822987771598,Americas,25408.106,24779.301,9419.54,50187.406,40430.278,1808.0,115.0,1693.0,26.0,1991.0,6.0,4984.0,6004.0,1395.0
Comores,1192.559711,112.0,54.0,9.0,23.95,4.0,7680.403549239121,Africa,393.86,397.126,602.75,790.986,248.16,1.0,0.0,1.0,26.0,16.0,78.5,1.0,0.0,6.0
Costa Rica,63951.114772,1622.0,794.0,181.0,435.39,330.0,8917.747488849167,Americas,2538.156,2546.376,996.082,5084.532,4003.302,198.0,15.0,145.0,0.0,341.0,0.0,736.0,972.0,13.0
Croatie,62246.204386,2434.0,411.0,1296.0,420.3,341.0,1015.7614909310802,Europe,2122.252,2007.499,1770.247,4129.752,2369.901,61.0,30.0,68.0,111.0,332.0,803.0,1276.0,74.0,2298.0
Cuba,103428.0,3017.0,1901.0,2148.0,788.22,717.0,7546.774349164066,Americas,5688.414,5628.282,2630.623,11316.697,8861.423,329.0,294.0,35.0,70.0,739.0,0.0,736.0,874.0,307.0
Danemark,347561.349211,8297.0,427.0,585.0,629.47,429.0,1224.2644348462177,Europe,2914.173,2881.706,693.384,5795.878,5081.84,146.0,142.0,158.0,3299.0,568.0,4642.0,340.0,471.0,41.0
Djibouti,3166.329057,678.0,31.0,78.0,17.48,14.0,5382.884108060108,Africa,540.367,533.626,217.689,1073.994,768.001,3.0,3.0,69.0,0.0,272.0,0.0,12.0,43.0,0.0
Dominique,611.537037,4.0,52.0,7.0,8.2,7.0,6755.0365031799765,Americas,35.755,35.673,21.816,71.428,52.863,5.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Espagne,1393046.093137,36195.0,10462.0,7000.0,7029.93,4947.0,801.5424952374997,Europe,24028.434,23102.938,9025.938,47131.372,37415.111,1571.0,188.0,1631.0,5225.0,6042.0,6079.0,11970.0,10107.0,4184.0
Estonie,31045.591753,600.0,100.0,111.0,113.93,92.0,2051.007570421951,Europe,699.545,627.494,403.516,1327.039,900.282,29.0,25.0,20.0,161.0,74.0,847.0,13.0,27.0,0.0
Eswatini,4471.045112,299.0,110.0,36.0,36.98,32.0,8610.00490472835,Africa,589.812,579.801,1075.98,1169.613,339.434,8.0,2.0,6.0,1.0,60.0,1.0,44.0,151.0,95.0
