Zone,PIB Valeur US $,Céréales - Disponibilité intérieure (Milliers de tonnes),Fruits - Disponibilité intérieure (Milliers de tonnes),Légumes - Disponibilité intérieure (Milliers de tonnes),Poisson - Disponibilité intérieure (Milliers de tonnes),Viande - Disponibilité intérieure (Milliers de tonnes),distance_to_france,region,Femmes,Hommes,Population rurale,Population totale,Population urbaine,Volailles - Disponibilité intérieure (Milliers de tonnes),Volailles - Importations - Quantité (Milliers de tonnes),Volailles - Production (Milliers de tonnes),Blé - Aliments pour animaux (Milliers de tonnes),Blé - Importations - Quantité (Milliers de tonnes),Blé - Production (Milliers de tonnes),Maïs - Aliments pour animaux (Milliers de tonnes),Maïs - Importations - Quantité (Milliers de tonnes),Maïs - Production (Milliers de tonnes)
Pologne,597284.45385,26013.0,3492.0,4331.0,3884.91,3321.0,1381.6976253304447,Europe,19867.761,18625.84,15197.181,38493.601,22831.097,1239.0,88.0,2568.0,2490.0,1077.0,10807.0,2800.0,460.0,3665.0
Polynésie française,6166.118532,44.0,20.0,16.0,46.29,29.0,15906.90117810426,Oceania,147.819,151.899,109.928,299.717,178.578,16.0,17.0,1.0,0.0,27.0,0.0,4.0,4.0,233.0
Portugal,239986.922639,4799.0,2485.0,1481.0,1595.07,971.0,1139.0106869537346,Europe,5432.203,4857.72,3510.812,10289.923,6743.854,322.0,90.0,350.0,275.0,1711.0,77.0,2441.0,2252.0,755.0
Pérou,228473.278308,11933.0,5202.0,2495.0,1194.81,2298.0,9780.442548882133,Americas,16556.679,16268.182,7212.742,32824.861,25721.093,1833.0,71.0,1763.0,174.0,2045.0,188.0,4856.0,4038.0,1576.0
Qatar,175837.550996,947.0,262.0,445.0,285.48,224.0,4890.166303968697,Asia,751.299,2055.936,22.293,2807.235,2721.608,159.0,132.0,27.0,0.0,282.0,0.0,66.0,71.0,1.0
Roumanie,249880.118218,14780.0,3135.0,3001.0,1479.88,1299.0,1749.0400182993194,Europe,10073.321,9450.89,8946.041,19524.211,10537.319,462.0,130.0,507.0,471.0,1263.0,10298.0,7565.0,657.0,17432.0
Rwanda,10357.474541,1162.0,2040.0,655.0,169.01,110.0,6003.349818387047,Africa,6568.936,6266.092,10579.327,12835.028,2215.085,21.0,0.0,19.0,16.0,213.0,16.0,240.0,79.0,421.0
République centrafricaine,2219.195548,181.0,315.0,97.0,227.60999999999999,192.0,4757.044093227032,Africa,2603.472,2605.852,2810.003,5209.324,2015.708,12.0,6.0,7.0,0.0,16.0,0.0,0.0,3.0,90.0
République dominicaine,88941.371981,2840.0,4528.0,1303.0,678.51,577.0,7173.635695845368,Americas,5409.472,5472.41,1998.33,10881.882,8998.444,386.0,40.0,355.0,188.0,650.0,0.0,1292.0,1403.0,50.0
Sainte-Lucie,2118.792593,25.0,20.0,8.0,18.169999999999998,12.0,6843.782872558276,Americas,90.001,88.582,146.612,178.583,33.842,6.0,5.0,1.0,0.0,20.0,0.0,1.0,3.0,0.0
Samoa,847.239532,27.0,46.0,3.0,33.94,23.0,16365.75424742898,Oceania,103.759,108.147,162.995,211.905,35.914,18.0,20.0,0.0,26.0,16.0,78.5,0.0,0.0,233.0
Sao Tomé-et-Principe,430.633136,24.0,52.0,5.0,15.870000000000001,5.0,5137.571783422904,Africa,107.476,107.123,56.336,214.599,157.043,4.0,3.0,1.0,26.0,11.0,78.5,0.0,1.0,1.0
Serbie,51514.242776,6521.0,1330.0,764.0,610.9,543.0,1491.1165010831314,Europe,3852.092,3548.963,3819.987,7401.056,4913.42,121.0,17.0,114.0,500.0,66.0,2535.0,3512.0,8.0,7345.0
Seychelles,1582.869257,20.0,10.0,11.0,14.899999999999999,7.0,7706.62341168862,Africa,49.453,54.919,41.038,104.373,54.664,4.0,3.0,1.0,0.0,9.0,0.0,2.0,5.0,0.0
Sierra Leone,4121.733685,1794.0,271.0,410.0,281.4,78.0,4406.451560698076,Africa,4016.374,4030.454,4534.084,8046.828,3349.039,44.0,20.0,19.0,0.0,93.0,0.0,9.0,1.0,39.0
Slovaquie,105284.375641,2363.0,357.0,387.0,404.78,348.0,1339.3910257736354,Europe,2790.862,2663.062,2522.243,5453.924,2928.744,115.0,104.0,71.0,410.0,344.0,1939.0,543.0,136.0,1445.0
Slovénie,54178.877606,840.0,281.0,230.0,184.46,156.0,982.8774365909936,Europe,1054.83,1058.072,940.556,2112.901,1141.344,60.0,23.0,70.0,8.0,336.0,140.0,162.0,754.0,360.0
Soudan,34895.36208,8283.0,3095.0,3958.0,1022.65,972.0,4544.305953981766,Africa,21624.451,21607.642,27661.508,43232.093,14852.586,75.0,0.0,75.0,0.0,2156.0,726.0,2.0,47.0,25.0
Sri Lanka,83990.932868,5627.0,806.0,1128.0,923.09,214.0,8497.188904323175,Asia,11208.805,10440.86,17112.476,21649.664,3906.383,186.0,0.0,187.0,44.0,987.0,0.0,143.0,136.0,246.0
Suisse,731718.481696,2013.0,945.0,785.0,701.51,564.0,464.65203278608294,Europe,4322.373,4253.216,2251.16,8575.588,6357.099,143.0,45.0,100.0,255.0,645.0,496.0,300.0,156.0,175.0
Suriname,3977.099088,214.0,-11.0,37.0,60.68,38.0,7297.750103729965,Americas,300.864,299.437,194.302,600.301,378.783,30.0,19.0,11.0,0.0,38.0,0.0,7.0,8.0,0.0
Suède,533879.529188,4373.0,761.0,922.0,1134.92,775.0,1882.8833552456347,Europe,5104.556,5163.366,1235.72,10267.922,8817.415,226.0,84.0,158.0,925.0,628.0,3477.0,86.0,157.0,11.0
Sénégal,23306.213218,5242.0,326.0,2339.0,482.51,283.0,3855.6177049679386,Africa,8140.163,7860.618,8764.887,16000.781,7978.972,117.0,0.0,116.0,0.0,773.0,0.0,29.0,382.0,531.0
Tadjikistan,8300.81389,2619.0,565.0,2869.0,346.27,340.0,5536.61722199249,Asia,4640.105,4696.898,6754.441,9337.003,2537.559,20.0,9.0,16.0,451.0,1229.0,837.0,222.0,4.0,233.0
Tchad,11271.66391,3021.0,129.0,110.0,889.32,781.0,3750.443395938265,Africa,8032.044,8094.822,12132.857,16126.866,3681.488,8.0,2.0,7.0,2.0,66.0,2.0,32.0,10.0,415.0
Thaïlande,544263.738706,28612.0,6284.0,3099.0,4329.67,1976.0,9395.601115862537,Asia,36584.375,34723.388,34173.268,71307.763,35132.892,918.0,3.0,1804.0,1695.0,3098.0,1.0,4139.0,804.0,4535.0
Togo,6894.331919,1700.0,65.0,178.0,210.11,110.0,4183.927017281147,Africa,4101.08,4142.015,4727.819,8243.094,3458.565,66.0,25.0,42.0,0.0,142.0,0.0,124.0,1.0,912.0
Trinité-et-Tobago,23886.519296,290.0,87.0,50.0,140.12,108.0,7119.371832318855,Americas,768.058,751.897,643.884,1519.955,731.559,89.0,25.0,62.0,0.0,132.0,0.0,77.0,97.0,5.0
Tunisie,39195.271092,5287.0,1674.0,3583.0,504.5,319.0,1505.524668689089,Africa,6086.59,5962.724,3622.883,12049.314,8160.285,203.0,1.0,227.0,331.0,1853.0,1455.0,1026.0,1039.0,0.0
Turkménistan,43460.686357,1728.0,442.0,947.0,336.98,320.0,4658.537291831572,Asia,3108.189,3050.231,2849.593,6158.42,3092.968,33.0,13.0,20.0,168.0,299.0,1500.0,39.0,3.0,40.0
Turquie,761001.835674,40122.0,12969.0,29321.0,4437.32,2913.0,2798.8674166076576,Asia,41614.734,41866.95,20217.893,83481.684,62743.912,1723.0,44.0,2202.0,1899.0,10081.0,19000.0,5532.0,4350.0,6000.0
Ukraine,153929.552493,16970.0,3258.0,10259.0,2927.59,2306.0,2182.950444754202,Europe,23730.427,20480.667,13369.27,44211.094,30425.95,1176.0,86.0,1390.0,2022.0,136.0,28370.0,6018.0,53.0,35880.0
Uruguay,61231.193299,1791.0,384.0,227.0,265.33,233.0,10511.00375445119,Americas,1769.262,1659.147,159.283,3428.409,3322.873,76.0,6.0,72.0,48.0,41.0,728.0,712.0,257.0,816.0
Vanuatu,934.239701,31.0,23.0,15.0,1.08,11.0,16302.964945527163,Oceania,151.256,153.149,214.878,304.404,73.139,5.0,4.0,1.0,26.0,13.0,78.5,1.0,0.0,1.0
Yémen,25246.23812,5438.0,980.0,676.0,631.57,540.0,5465.594701989006,Asia,15593.113,15953.578,18554.546,31546.691,11025.44,330.0,140.0,190.0,0.0,3617.0,100.0,360.0,723.0,48.0
Zambie,23309.720448,2961.0,147.0,423.0,556.67,303.0,7081.4697106650565,Africa,9314.079,9066.397,10143.883,18380.477,7993.486,50.0,23.0,51.0,0.0,44.0,152.0,284.0,4.0,2004.0
Zimbabwe,21935.075306,1618.0,251.0,224.0,816.83,772.0,7744.496716269607,Africa,8122.618,7231.989,11725.97,15354.608,5571.525,69.0,1.0,67.0,0.0,138.0,80.0,92.0,77.0,509.0
Égypte,317359.293188,37352.0,10240.0,16314.0,5499.6,2691.0,3311.7628897317904,Africa,52189.268,53429.404,57939.247,105618.671,43229.498,1663.0,36.0,1630.0,0.0,10465.0,8574.0,5957.0,8087.0,7593.0
Émirats arabes unis,417215.559513,2925.0,1294.0,1632.0,1250.88,921.0,5234.379464901446,Asia,2767.844,6443.813,1279.098,9211.657,8402.99,648.0,689.0,45.0,227.0,1599.0,0.0,453.0,530.0,26.0
Équateur,108108.009,4118.0,935.0,429.0,880.99,799.0,9418.855928169216,Americas,8670.974,8672.767,6158.51,17343.74,10941.934,322.0,0.0,322.0,365.0,1233.0,5.0,583.0,70.0,1480.0
Éthiopie,92561.902026,32107.0,1052.0,1584.0,913.14,851.0,5491.584476872576,Africa,56745.161,57375.433,86759.295,114120.594,23376.34,59.0,1.0,58.0,108.0,1472.0,5315.0,757.0,82.0,9636.0
Îles Salomon,1570.155017,89.0,28.0,9.0,28.28,9.0,15440.358711821866,Oceania,329.962,345.031,481.459,674.993,153.795,4.0,4.0,0.0,0.0,22.0,0.0,0.0,0.0,233.0
