Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Estonia,EST,241338
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Eswatini,SWZ,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Ethiopia,ETH,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Faroe Islands,FRO,31214.33
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Fiji,FJI,145782.4
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Finland,FIN,1628170
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,France,FRA,4992918
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,French Polynesia,PYF,69166
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Gabon,GAB,192998
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,"Gambia, The",GMB,71469.72
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Georgia,GEO,601491
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Germany,DEU,15029605
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Ghana,GHA,1079247
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Gibraltar,GIB,10870.46
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Greece,GRC,6153567
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Greenland,GRL,6144.526
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Grenada,GRD,12343
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Guam,GUM,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Guatemala,GTM,1529010
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Guinea,GIN,248659
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Guinea-Bissau,GNB,28699.98
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Guyana,GUY,58543
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Haiti,HTI,177075.5
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Honduras,HND,790707
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,"Hong Kong SAR, China",HKG,18360000
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Hungary,HUN,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Iceland,ISL,330292
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,India,IND,17487621
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Indonesia,IDN,12111471
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,"Iran, Islamic Rep.",IRN,1503495
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Iraq,IRQ,932728.6
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Ireland,IRL,1063489
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Isle of Man,IMN,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Israel,ISR,2917000
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Italy,ITA,10789337
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Jamaica,JAM,1647609
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Japan,JPN,23276482
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Jordan,JOR,798160
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Kazakhstan,KAZ,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Kenya,KEN,1417000
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Kiribati,KIR,52099.86
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,"Korea, Dem. People's Rep.",PRK,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,"Korea, Rep.",KOR,28959959
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Kosovo,XKX,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Kuwait,KWT,959575.625
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Kyrgyz Republic,KGZ,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Lao PDR,LAO,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Latvia,LVA,449850
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Lebanon,LBN,1229081
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Lesotho,LSO,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Liberia,LBR,91453.84
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Libya,LBY,271230.6
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Liechtenstein,LIE,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Lithuania,LTU,703000
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Luxembourg,LUX,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,"Macao SAR, China",MAC,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Madagascar,MDG,199712.5
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Malawi,MWI,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Malaysia,MYS,26215322
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Maldives,MDV,107728.2
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Mali,MLI,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Malta,MLT,2712853
