Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
Rail lines (total route-km),IS.RRS.TOTL.KM,Guinea-Bissau,GNB,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Guyana,GUY,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Haiti,HTI,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Honduras,HND,..
Rail lines (total route-km),IS.RRS.TOTL.KM,"Hong Kong SAR, China",HKG,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Hungary,HUN,7587.7
Rail lines (total route-km),IS.RRS.TOTL.KM,Iceland,ISL,..
Rail lines (total route-km),IS.RRS.TOTL.KM,India,IND,67414.07
Rail lines (total route-km),IS.RRS.TOTL.KM,Indonesia,IDN,5483
Rail lines (total route-km),IS.RRS.TOTL.KM,"Iran, Islamic Rep.",IRN,9454
Rail lines (total route-km),IS.RRS.TOTL.KM,Iraq,IRQ,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Ireland,IRL,1888
Rail lines (total route-km),IS.RRS.TOTL.KM,Isle of Man,IMN,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Israel,ISR,1598.916
Rail lines (total route-km),IS.RRS.TOTL.KM,Italy,ITA,16778.6
Rail lines (total route-km),IS.RRS.TOTL.KM,Jamaica,JAM,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Japan,JPN,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Jordan,JOR,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Kazakhstan,KAZ,16060.8
Rail lines (total route-km),IS.RRS.TOTL.KM,Kenya,KEN,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Kiribati,KIR,..
Rail lines (total route-km),IS.RRS.TOTL.KM,"Korea, Dem. People's Rep.",PRK,..
Rail lines (total route-km),IS.RRS.TOTL.KM,"Korea, Rep.",KOR,4109.15
Rail lines (total route-km),IS.RRS.TOTL.KM,Kosovo,XKX,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Kuwait,KWT,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Kyrgyz Republic,KGZ,424
Rail lines (total route-km),IS.RRS.TOTL.KM,Lao PDR,LAO,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Latvia,LVA,1859.6
Rail lines (total route-km),IS.RRS.TOTL.KM,Lebanon,LBN,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Lesotho,LSO,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Liberia,LBR,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Libya,LBY,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Liechtenstein,LIE,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Lithuania,LTU,1911
Rail lines (total route-km),IS.RRS.TOTL.KM,Luxembourg,LUX,288
Rail lines (total route-km),IS.RRS.TOTL.KM,"Macao SAR, China",MAC,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Madagascar,MDG,673
Rail lines (total route-km),IS.RRS.TOTL.KM,Malawi,MWI,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Malaysia,MYS,1655
Rail lines (total route-km),IS.RRS.TOTL.KM,Maldives,MDV,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Mali,MLI,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Malta,MLT,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Marshall Islands,MHL,..
